timestamp	hr								ecg
2025-11-19 18:46:01.588000+00:00									46,195,-10,43,-58,-107,-188,-101,20,187
2025-11-19 18:29:27.976000+00:00									-181,-165,-122,169,-148,-87,-198,-197,-168,-159,-58,-138
2025-11-19 18:13:24.789000+00:00									-111,-137,-159,-162,-82,-101,-55,30,68
2025-11-19 18:20:58.950000+00:00									-156,-152
2025-11-19 18:44:20.694000+00:00									-114,-182,-294,-309,-292,-125,54,119,-127,-291,-276,-231,-192
2025-11-19 18:27:16.036000+00:00									-9,-88,-208,-302,-355,-346,-236,-155,-130,-56
2025-11-19 18:18:19.217000+00:00									-290,-245,-178,-169
2025-11-19 18:37:40.774000+00:00									-125,-198
2025-11-19 18:17:08.638000+00:00									-230,-318
2025-11-19 18:45:46.445000+00:00									-96,-187,-271,-281,-276,-259,-212,-277,-239,-197
2025-11-19 18:44:10.538000+00:00									-204,-303,-387,-320,-311,-299,-259,-203,-162,159
2025-11-19 18:33:27.589000+00:00									182,-97,8,-58,-29,-11,-2,85,-63,-71,-219,-266
2025-11-19 18:29:58.057000+00:00									-364,-353,-385,-349,-303,-263,-201,-147,-102,2,187,191
2025-11-19 18:32:51.174000+00:00									-156
2025-11-19 18:30:23.446000+00:00									25,33,10,-30,-48,-28,-72,-123,38,182,188
2025-11-19 18:32:16.832000+00:00									88,-34,-104,-57,97,187,188,164,180,60,-50,-104
2025-11-19 18:19:57.606000+00:00									-506,-32,208,196,196,196,197,196,196,-59
2025-11-19 18:21:54.725000+00:00									-151
2025-11-19 18:19:27.276000+00:00									-200,-262,-404,-339,-54,-192,-95,-174,-163,-112,196
2025-11-19 18:30:18.529000+00:00									9,134,189,200,192,175,161,-15,-93,-163,-229
2025-11-19 18:44:15.474000+00:00									-127,-222,-311,-307,44,-227,-107,-162,-131,-96,-49
2025-11-19 18:07:38.060000+00:00									202,105,17,-86,-149,-165,-151,-152,-180,-142,-190
2025-11-19 18:09:55.731000+00:00	72								-224,-191,-149,-273,-320,-383,-112,-334,-448,-348,-95
2025-11-19 18:26:46.711000+00:00									-381,-150,-151,-153,-147,-151,-152,-148,-154,-148,-151
2025-11-19 18:45:11.165000+00:00									-506,-411,-302,-159,133,52,144,43,44,60
2025-11-19 18:15:38.706000+00:00									-102,-112,-129,-127,-52,-180,-165,-153,-129,-191
2025-11-19 18:20:07.685000+00:00									-226,-139,-42,-12,-78,-104,-99,-210
2025-11-19 18:19:22.220000+00:00	86								-103,-104,-56,-156,-149,-133,-114,-133,-109,-62,-131
2025-11-19 18:42:36.536000+00:00									-217,-259,104,188,189
2025-11-19 18:13:39.834000+00:00									-139,-172,-246,-357,-398
2025-11-19 18:12:42.987000+00:00									-70,-67,-506,-151,-421,-23,177,-272
2025-11-19 18:14:15.228000+00:00									-199,-192,131,-212,-139,-239,-210,-183,-165
2025-11-19 18:26:50.970000+00:00									-239,-144,-151
2025-11-19 18:04:51.648000+00:00	74								-118,-124,-153,-157,-204,-199,-202,-188,-212,-188,-342,-274
2025-11-19 18:32:06.690000+00:00									205,200,201,190,8,-206,-342,-386,-409,-417,-392
2025-11-19 18:26:26.627000+00:00									7
2025-11-19 18:09:36.657000+00:00									-152
2025-11-19 18:14:05.238000+00:00									0,-1,1,-24,-116,-180,-203,-229,19,-143,-37
2025-11-19 18:15:43.628000+00:00	63								-46,-91,-151,-299,-145
2025-11-19 18:44:56.104000+00:00									-165,-312,-343,-337,-296,-211,-209,-184,-131,-93,-51
2025-11-19 18:46:26.754000+00:00									-261,-286,-342,-323,-232,-295,-245,-213,46,-156,-107
2025-11-19 18:07:12.956000+00:00									-28,-21,191,-133,-184,-290,-406,-413,-304,-300,-267
2025-11-19 18:32:21.716000+00:00									-506,-101,191,191,191,192,190,186,189,192,191
2025-11-19 18:43:45.462000+00:00									-133,-215,-441,-429,-355,-289,-284,-265,-131,-207,-154
2025-11-19 18:19:42.472000+00:00									98,4,-66,-28,-232,-289,-422,-407,-444,-445,-407
2025-11-19 18:29:02.543000+00:00									-372,-328,-172,-52,153,188,87,62,-230,-360,-40,12
2025-11-19 18:29:37.978000+00:00									-468,-396,-300,-176,-140,-114,-27,-85,-117,-181,-192
2025-11-19 18:20:48.209000+00:00									-202,198,209,197,210,210,196,196,-151,-150
2025-11-19 18:07:07.880000+00:00									-441,-506,-506,-506,-458,-315,-227,-285,-345,-300,-293,-282
2025-11-19 18:05:22.265000+00:00									-265,-148,-154,-146,-148,-152,-153,-145,-139,-155,-156,-151
2025-11-19 18:13:19.773000+00:00									-302,-308,-291,-282,-257,-253,-245,-156,-239,-186,-130
2025-11-19 18:19:52.591000+00:00									-248,-215,-202,-219,-213,-215,-364,-378
2025-11-19 18:08:20.248000+00:00									-183,-123,-410,-506,-506,-506
2025-11-19 18:45:00.828000+00:00									-506,-506,-409,-324,-273,185,191
2025-11-19 18:45:21.292000+00:00									-311,-432,-481,-296
2025-11-19 18:17:59.124000+00:00									59,35,126,129,93,123,179,193,196,195,195
2025-11-19 18:13:44.886000+00:00									198,198,190,186,-192,-319
2025-11-19 18:24:27.645000+00:00									-73,187
2025-11-19 18:46:21.829000+00:00									-492,-409,-245,-195,-326,-360,-304,-214
2025-11-19 18:16:09.040000+00:00									-153,-153,-175,-120,-25,-145,-131
2025-11-19 18:34:08.113000+00:00									-117,-124,-122,-144,-140,-32,-166,-193,-197,-194,-182,-184,-169
2025-11-19 18:17:03.206000+00:00									-153,-103,-239,-244,-207,-167,85,-114,-37,-163,-122
2025-11-19 18:28:31.931000+00:00									-140,-263,-250,-212,-140,-144,-93,-42,-38,-12,0
2025-11-19 18:05:42.448000+00:00									-186,-129,-153,-156,-141,-151,-153,-156,-155,-158
2025-11-19 18:13:55.012000+00:00									199,199,198,172,-346,-440,-288,-476
